업종,브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액"
분식,선릉역매운떡볶이,하늘아래(주),9,3,0,5,0,"212,744","13,588"
분식,떡볶이몽테이너,유앤아이컴퍼니,2,2,0,6,0,0,0
분식,또뽀끼야,또뽀끼야,4,0,0,0,0,0,0
분식,구포국수,제이피토탈,15,3,0,0,1,"184,524","10,405"
분식,최가네크레이지떡볶이,최가네토탈푸드,13,13,0,0,0,0,0
분식,분식이 이래도 되는가,(주)분식이,39,23,0,0,5,"187,868","12,681"
분식,지지고(GGGO),(주)더블유엔씨,68,5,10,0,5,"141,713","19,196"
분식,탄탄면공방,(주)에이티컴퍼니,13,8,0,3,0,"232,086","16,491"
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,크앙분식,(주)원더파트너스,6,6,0,0,0,"61,500","4,193"
분식,소소떡볶이,(주)위대한,20,14,0,6,2,"192,553","12,907"
분식,찰스숯불김밥,(주)찰스푸드,18,0,0,6,2,"220,757","13,071"
분식,홍대마녀,(주)훌랄라,7,7,0,0,0,"22,223",739
분식,동대문떡볶이동떡,동대문떡볶이동떡하복대점,12,2,1,0,0,"162,654","14,313"
분식,할머니가래떡볶이,(주)나도람에프씨,0,0,0,0,0,0,0
분식,아수라떡볶이,(주)바른정,0,0,0,0,0,0,0
분식,어묵대장 떡볶이,어묵대장떡볶이푸드,5,3,0,0,0,0,0
분식,송송당,(주)마마스푸드,0,0,0,0,0,0,0
분식,노랑김밥,(주)엘에이치지,0,0,0,0,0,0,0
분식,돈페플러스,히노아스카(주),8,9,0,1,0,"87,728","6,733"
분식,돈페,히노아스카(주),5,1,0,0,0,"784,186","6,939"
분식,리김밥,(주)바인인터내셔날,26,8,0,3,2,"282,890","23,379"
분식,봉천동 진순자 김밥,(주)아리랑에프앤비,0,0,0,0,0,0,0
분식,신떡,(주)신화에프앤비,34,3,12,0,3,"98,374","8,101"
분식,씨앤푸드스토리 청년떡볶이,(주)씨앤푸드스토리,52,9,0,12,0,0,0
분식,오로지라멘,(주)서로다함께,2,2,0,0,0,"23,402","1,679"
분식,텬고,(주)민컴퍼니,0,0,0,0,0,0,0
분식,가마솥김밥,(주)도시방앗간,14,0,0,4,0,0,0
분식,쫄면당,(주)인화에프엔비,25,25,0,0,0,0,0
분식,만두여행,(주)인화에프엔비,105,114,0,17,1,"54,489","9,735"
분식,핫도그꽈배기스타,제이에스푸드,0,0,0,0,0,0,0
분식,정성한줄,(주)해밀코리아,17,2,0,2,0,"542,106","36,800"
분식,신존떡볶이,신존F&B힘찬푸드웰,12,5,1,0,0,0,0
분식,바르다김선생,(주)바르다김선생,138,13,2,20,10,"396,549","23,973"
분식,행컵,(주)혜성푸드빌,19,4,0,0,3,"205,450","21,662"
분식,스쿨스토어,(주)스쿨스토어,13,1,9,1,3,"408,012","16,028"
분식,원빙고떡볶이,다보유통,8,0,0,2,0,0,0
분식,기용,(주)기용,1,0,0,0,0,0,0
분식,맛있게듬뿍,(주)듬뿍하우스,6,2,0,0,0,"154,441","7,473"
분식,더바스켓,(주)성하식품,22,9,0,2,3,"166,861","11,484"
분식,코끼리 떡볶이,상상마켓,3,1,0,0,0,0,0
분식,김밥일번지,(주)금환식품,0,0,0,0,0,0,0
분식,LA김밥,(주)한국창업경제연구소,4,0,0,0,0,0,0
분식,DININGBOX(다이닝박스),(주)보성파워텍,0,0,0,0,0,0,0
분식,DININGBOX(다이닝박스),(주)보성커머스,0,0,0,0,0,0,0
분식,한입소반,(주)한입소반,0,0,0,0,0,0,0
분식,마신떡볶이,마신떡볶이,28,28,0,0,0,0,0
분식,우리동네면반장,(주)우리동네에프앤비,4,0,1,0,0,0,0
분식,소풍경,(주)나눔드림,4,2,0,0,0,0,0
분식,중평떡볶이,피비홈푸드중평떡볶이(주),0,0,0,0,0,0,0
분식,더 땡초포차,비엘컴퍼니(주),10,10,0,0,0,0,0
분식,라이스쉐프,(주)이쉐프코리아,12,5,0,0,0,"220,356","21,601"
분식,신포우리만두,(유)신포우리식품,113,13,0,11,5,"355,488","13,082"
분식,반장떡볶이,(주)반장푸드,11,1,0,5,0,"244,111","8,658"
분식,만두정,(주)미성에프앤씨,0,0,0,0,0,0,0
분식,별에서온떡볶이,비범한녀석들,0,0,0,0,0,0,0
분식,황기순의 칼국수&돈까스,(주)티에스에프엔씨,57,5,0,21,0,"141,218","7,790"
